food_name,category,calories,protein,carbs,fat,iron,vitamin_c,protien_level
"Strawberry milk, NFS","Flavored milk, reduced fat",65,3.2,8.54,2.06,0.02,0.1,low
"Strawberry milk, whole","Flavored milk, whole",86,3.03,11.79,2.97,0.03,0,low
"Fast foods, sundae, strawberry",Fast Foods,732,4.09,29.2,5.13,0.21,1.3,low
"Kefir, lowfat, strawberry, LIFEWAY",Dairy and Egg Products,62,3.39,10.2,0.9,0.04,1.5,low
SILK Strawberry soy yogurt,Legumes and Legume Products,94,2.35,18.2,1.18,0.64,17.6,low
"Strawberries, frozen, sweetened, sliced",Fruits and Fruit Juices,402,0.53,25.9,0.13,0.59,41.4,low
"Blueberries, raw",Blueberries and other berries,64,0.7,14.57,0.31,0.34,8.1,low
"Blueberries, frozen",Blueberries and other berries,51,0.42,12.17,0.64,0.18,2.5,low
"Blueberries, dried",Dried fruits,317,2.5,80,2.5,0.9,23.8,low
Blueberry juice,Other fruit juice,42,0.46,9.47,0.2,0.22,5.3,low
Blueberry syrup,"Jams, syrups, toppings",341,0,85.13,0,0.04,1.6,low
"Pie, blueberry",Cakes and pies,300,2.82,37.95,15.52,1.21,1.1,low
"Blueberries, dried, sweetened",Fruits and Fruit Juices,1330,2.5,80,2.5,0.9,23.8,low
"Blueberries, frozen, sweetened",Fruits and Fruit Juices,355,0.4,22,0.13,0.39,1,low
Blueberry pie filling,"Jams, syrups, toppings",181,0.41,44.38,0.2,0.8,0.7,low
"Muffins, blueberry, toaster-type",Baked Products,1310,4.6,53.3,9.5,0.51,0,low
"Pie fillings, blueberry, canned",Sweets,757,0.41,44.4,0.2,0.8,0.7,low
"Pie, blueberry, commercially prepared",Baked Products,971,1.8,34.9,10,0.3,2.7,low
SILK Blueberry soy yogurt,Legumes and Legume Products,88,2.35,17.1,1.18,0.64,17.6,low
"Yogurt, Greek, Blueberry, CHOBANI",Dairy and Egg Products,82,7.23,12.8,0.24,0.15,0.3,moderate
Potato patty,French fries and other fried white potatoes,171,3.89,13.49,11.32,0.75,0.5,low
"Soup, potato","Soups, cream-based",90,1.51,10.53,4.71,0.34,7.1,low
Potato pancake,Mashed potatoes and white potato mixtures,196,4.47,20.64,10.8,1.3,15.6,low
Stewed potatoes,Mashed potatoes and white potato mixtures,103,1.99,16.26,3.39,0.38,15.1,low
"Potato, NFS","White potatoes, baked or boiled",126,1.87,20.45,4.25,0.34,12.1,low
"Bread, potato",Baked Products,1120,12.5,47.1,3.13,2.25,0,Good
"Gnocchi, potato","Pasta mixed dishes, excludes macaroni and cheese",135,2.44,17.2,6.33,0.83,1.9,low
Potato flour,Vegetables and Vegetable Products,357,6.9,83.1,0.34,1.38,3.8,moderate
Potato pancakes,Vegetables and Vegetable Products,268,6.08,27.8,14.8,1.67,27.6,moderate
"Soup, potato with meat","Soups, cream-based",109,3.78,8.81,6.43,0.48,5.5,low
"Potato tots, NFS",French fries and other fried white potatoes,237,1.9,24.4,15.46,0.47,6.4,low
"Potato tots, school",French fries and other fried white potatoes,166,2.02,19.34,9.16,0.66,10.1,low
Sweet potato tots,Fried vegetables,191,2.26,37.3,9.35,0.81,7.5,low
"Potato, boiled, NFS","White potatoes, baked or boiled",126,1.87,20.45,4.25,0.34,12.1,low
"Potato chips, NFS",Potato chips,532,6.39,53.83,33.98,1.28,21.6,moderate
"Potato chips, plain",Potato chips,532,6.39,53.83,33.98,1.28,21.6,moderate
"Potato chips, unsalted",Potato chips,537,6.25,59.66,30.3,1.19,22.6,moderate
"Potato sticks, flavored",Potato chips,517,6.63,52.77,34.06,2.25,46.8,moderate
"Bread, sweet potato",Yeast breads,241,8.64,45.38,2.87,3.14,4.1,moderate
"Pie, sweet potato",Cakes and pies,269,4.96,41.08,9.75,1.06,10.3,low
Sweet potato chips,"Tortilla, corn, other chips",529,2.92,56.54,32.19,2.11,0,low
Sweet potato paste,"Jams, syrups, toppings",305,0.49,75.14,0.34,0.16,3.9,low
"Sweet potato, candied",Other red and orange vegetables,187,1.18,37.69,3.48,0.31,9.3,low
"Sweet potato, NFS",Other red and orange vegetables,115,1.58,17.14,4.53,0.4,12.4,low
"Sweet potato tots, school",Fried vegetables,192,2.27,37.45,9.39,0.81,7.5,low
"Sweet potato, casserole or mashed",Other red and orange vegetables,99,1.89,17.22,2.56,0.34,10.4,low
"Bread, sweet potato, toasted",Yeast breads,265,9.5,49.87,3.15,3.45,3.8,moderate
"Sweet potato fries, frozen",Fried vegetables,192,2.27,37.45,9.39,0.81,7.5,low
"Sweet potato fries, NFS",Fried vegetables,192,2.27,37.45,9.39,0.81,7.5,low
"Sweet potato fries, school",Fried vegetables,192,2.27,37.45,9.39,0.81,7.5,low
"Sweet potato leaves, raw",Vegetables and Vegetable Products,175,2.49,8.82,0.51,0.97,11,low
"Sweet potato, canned, mashed",Vegetables and Vegetable Products,101,1.98,23.2,0.2,1.33,5.2,low
"Sweet potato, cooked, as ingredient",Not included in a food category,82,1.65,18.05,0.4,0.42,13.1,low
"Tomatoes, raw",Tomatoes,20,0.82,4.04,0.31,0.22,16.3,low
Guacamole with tomatoes,"Dips, gravies, other sauces",145,1.87,8.09,13.09,0.52,10.5,low
"Soup, tomato","Soups, broth-based",19,0.65,3.64,0.41,0.44,5.9,low
"Tomatoes, scalloped",Vegetable dishes,110,2.7,14.1,4.97,0.89,12.2,low
"Tomato products, canned, sauce, with tomato tidbits",Vegetables and Vegetable Products,134,1.32,7.09,0.39,0.68,21.5,low
Sun-dried tomatoes,Tomatoes,258,14.11,55.76,2.97,9.09,39.2,Good
"Tomatoes, red, ripe, canned, packed in tomato juice",Vegetables and Vegetable Products,16,0.79,3.47,0.25,0.57,12.6,low
Fried green tomatoes,Fried vegetables,216,3.68,21.78,12.84,1.64,6.2,low
Tomato juice cocktail,Vegetable juice,22,0.93,3.87,0.31,0.28,54.3,low
"Rice, white, with tomatoes and/or tomato-based sauce, fat added",Rice mixed dishes,107,2,19.41,2.18,0.97,4.1,low
"Tomatoes, canned, cooked",Tomatoes,43,0.82,3.23,3.04,0.56,12.2,low
"Tomatoes, fresh, cooked",Tomatoes,50,1.08,4.71,3.42,0.33,15.8,low
Bacon and tomato dressing,Salad dressings and vegetable oils,326,1.8,2,35,0.27,8.8,low
"Beans and rice, with tomatoes","Bean, pea, legume dishes",137,4.7,21.9,3.46,1.46,1.5,low
Pork with chili and tomatoes,Meat mixed dishes,95,11.64,2.68,3.99,0.58,16.7,Good
"Soup, cream of tomato","Soups, cream-based",70,1.21,6.39,4.68,0.6,6,low
"Soup, tomato, canned","Soups, broth-based",34,0.63,7.65,0.33,0.44,2.8,low
Stewed potatoes with tomatoes,Mashed potatoes and white potato mixtures,87,1.71,12.89,3.29,0.36,15.1,low
"Onions, raw",Onions,38,0.86,8.46,0.08,0.24,8.2,low
"Bread, onion",Yeast breads,238,8.81,44.32,2.95,3.11,0.9,moderate
"Onions, green, raw",Onions,32,1.83,7.34,0.19,1.48,18.8,low
"Onions, green, cooked",Onions,63,2.09,8.37,3.21,1.69,18.2,low
"Onions, pearl, cooked",Onions,50,0.7,6.49,2.59,0.33,4.9,low
"Onion dip, regular","Dips, gravies, other sauces",346,2.15,3.92,35.77,0.1,0.9,low
"Onion dip, light","Dips, gravies, other sauces",166,2,11.87,12.36,0.1,0.9,low
"Bread, onion, toasted",Yeast breads,262,9.68,48.7,3.24,3.41,0.8,moderate
"DENNY'S, onion rings",Restaurant Foods,385,5.29,41,22.2,0.74,,moderate
Fried onion rings,Fried vegetables,352,4.19,39.94,19.82,0.96,1.5,low
Onion flavored rings,"Tortilla, corn, other chips",499,7.7,65.1,22.6,3.72,1.8,moderate
"Onions, cooked, as ingredient",Not included in a food category,47,1.29,10.99,0.12,0.25,7.4,low
"Onions, dehydrated flakes",Vegetables and Vegetable Products,349,8.95,83.3,0.46,1.55,75,moderate
"Onions, for use on a sandwich",Vegetables on a sandwich,38,0.86,8.46,0.08,0.24,8.2,low
"Onions, red, raw",Vegetables and Vegetable Products,44,0.94,9.93,0.1,0.24,8.1,low
"Onions, sweet, raw",Vegetables and Vegetable Products,32,0.8,7.55,0.08,0.26,4.8,low
"Onions, welsh, raw",Vegetables and Vegetable Products,142,1.9,6.5,0.4,1.22,27,low
"Onions, white, raw",Vegetables and Vegetable Products,35,0.89,7.68,0.13,0.15,,low
"Onions, yellow, raw",Vegetables and Vegetable Products,38,0.83,8.61,0.05,0.28,8.2,low
Garlic sauce,"Dips, gravies, other sauces",683,1.43,2.87,74.02,0.22,1,low
"Garlic, cooked",Mustard and other condiments,142,6.58,28.03,0.38,1.69,8,moderate
"Garlic, raw",Mustard and other condiments,143,6.62,28.2,0.38,1.7,10,moderate
"Roll, garlic",Rolls and buns,309,10.84,51.92,6.44,3.71,0.2,Good
"Garlic bread, frozen",Baked Products,1460,8.36,41.7,16.6,3.05,0.2,moderate
"Garlic bread, NFS",Yeast breads,349,8.34,41.64,16.58,3.04,0.2,moderate
"Garlic bread, from frozen",Yeast breads,350,8.36,41.72,16.61,3.05,0.2,moderate
"PIZZA HUT, breadstick, parmesan garlic",Fast Foods,1430,12.2,44.5,12.9,4.65,,Good
"Garlic bread, from fast food / restaurant",Yeast breads,349,8.34,41.64,16.58,3.04,0.2,moderate
"Garlic bread, with melted cheese, from frozen",Yeast breads,343,10.36,36.86,17.1,2.68,0.2,Good
"Garlic bread, with parmesan cheese, from frozen",Yeast breads,351,8.78,41.14,16.83,3,0.2,moderate
"Shrimp in garlic sauce, Puerto Rican style",Seafood mixed dishes,281,11.56,2.45,24.96,0.41,12,Good
"Garlic bread, with parmesan cheese, from fast food / restaurant",Yeast breads,351,8.76,41.06,16.8,2.99,0.2,moderate
"Garlic bread, with melted cheese, from fast food / restaurant",Yeast breads,339,11.41,34.21,17.34,2.48,0.2,Good
"Fast foods, breadstick, soft, prepared with garlic and parmesan cheese",Fast Foods,1430,12.2,44.5,12.9,4.65,0,Good
"HORMEL ALWAYS TENDER, Pork Loin Filets, Lemon Garlic-Flavored",Pork Products,492,17.8,1.79,4.16,0.6,1.7,Good
"Abiyuch, raw",Fruits and Fruit Juices,290,1.5,17.6,0.1,1.61,54.1,low
